Light_01.1	Heavy_01.1	Light_02.2	Heavy_02.2	Light_03.2	Heavy_03.2	Light_04.3	Heavy_04.3	Light_05.3	Heavy_05.3	Light_06.3	Light_07.3	Heavy_06.3
aat-9	2.97374656178868e-07	2.97374656178868e-07	2.97374656178868e-05	1.18949862471547e-06	1.18949862471547e-06	1.18949862471547e-06	2.97374656178868e-07	2.97374656178868e-07	2.97374656178868e-07	2.97374656178868e-07	2.97374656178868e-07	2.97374656178868e-07	2.97374656178868e-07
abf-2	0.000415529840836668	0.000403925910725292	0.000215589932945753	0.000672723111098284	0.000207476012429431	0.00067293544552352	0.000705992576007802	0.000879885671599669	0.000711613706211778	0.00111166930332616	1.2696254105861e-06	0.000537491621060124	1.2696254105861e-06
abt-2	4.76996945306081e-06	1.94412441802966e-05	3.66343628854923e-06	5.54200684921046e-05	3.66343628854923e-06	3.66343628854923e-06	2.40844465228575e-06	3.13914605305731e-05	2.40844465228575e-06	2.79403132409296e-05	2.40844465228575e-06	3.57608342404648e-05	2.40844465228575e-06
abt-4	3.59879866618979e-06	0.000440415591926722	3.62980285015341e-06	0.000420546298935279	3.62980285015341e-06	0.000460043641833366	5.33638115455816e-06	0.000650225353533334	5.33638115455816e-06	0.000704749411834125	5.33638115455816e-06	5.33638115455816e-06	0.000353593468628122
ace-1	2.40836820775666e-07	2.40836820775666e-07	9.63347283102664e-07	2.40836820775666e-05	9.63347283102664e-07	9.63347283102664e-07	2.40836820775666e-07	2.40836820775666e-07	2.40836820775666e-07	2.40836820775666e-07	2.40836820775666e-07	2.40836820775666e-07	2.40836820775666e-07
acn-1	4.01017667125609e-06	1.60407066850244e-05	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06	1.00254416781402e-06
aco-1	0.000719831737034634	0.000210509743095286	0.00105666710482991	0.000163098356405604	0.000738448884285819	0.000104559603784281	0.00104991374936535	1.4740268544113e-05	0.00153177131372195	2.05713209233156e-05	0.00156068170455003	0.0010396996978004	4.87163520078873e-05
aco-2	0.000462808079214704	4.61745284543075e-05	0.000340001390742435	0.000144005562988042	0.000257223512671616	0.000102794660216548	0.000190912868011123	7.30276286189888e-05	0.000436288087380215	0.000175880692159597	0.000263152337415897	0.000220702136029139	0.000131980653067595
act-2	0.000172676615950446	8.25399660101814e-05	0.000313952793586588	1.13465818454446e-05	0.000209037539846094	7.93218983890068e-05	1.96607223628001e-05	1.96607223628001e-05	0.000467143851430629	1.96607223628001e-05	1.96607223628001e-05	0.000371152735913199	0.000367691874028616
act-5	0.000452985408388482	0.00342266016673621	0.00134617582763796	0.00184561211496777	0.00130869604123961	0.00191381383270261	0.000394029215960178	0.0021998086428475	0.000538079065585505	0.00132768848814476	0.00444788756920317	0.00102891256033367	0.00292669400577762
ads-1	2.5018961897232e-07	2.5018961897232e-07	1.00075847588928e-06	1.00075847588928e-06	1.00075847588928e-06	2.50189618972321e-05	2.50189618972321e-07	2.50189618972321e-07	2.50189618972321e-07	2.50189618972321e-07	2.50189618972321e-07	2.50189618972321e-07	2.50189618972321e-07
aex-1	1.62126850033564e-07	1.62126850033564e-07	6.48507400134258e-07	1.62126850033565e-05	6.48507400134258e-07	6.48507400134258e-07	1.62126850033565e-07	1.62126850033565e-07	1.62126850033565e-07	1.62126850033565e-07	1.62126850033565e-07	1.62126850033565e-07	1.62126850033565e-07
aex-3	2.12360006502218e-05	5.30900016255546e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06	1.32725004063886e-06
alh-1	8.34068790469849e-05	8.34068790469849e-05	0.000128830188095595	0.000116014109170356	9.65450314478134e-05	2.10120500355086e-05	0.000230730734114155	1.42178822818372e-05	0.000399472145846662	1.42178822818372e-05	1.42178822818372e-05	0.000186865923346676	1.42178822818372e-05
alh-2	4.22786238128414e-07	4.22786238128414e-07	4.22786238128413e-07	4.22786238128413e-07	4.22786238128413e-07	4.22786238128413e-07	1.69114495251366e-06	1.69114495251366e-06	1.69114495251366e-06	1.69114495251366e-06	0.000152625831964357	1.69114495251366e-06	1.69114495251366e-06
alh-3	0.000148315980366399	0.000330494675719652	0.000150388583611237	0.000297731168723324	0.000289963017097259	0.000200775968902937	0.000381741417529533	9.28279952650573e-05	0.000327228721402439	0.00016591454706515	0.000181453697425851	0.00041138195186364	0.000152691835469987
