Light_01.1	Heavy_01.1	Light_02.2	Heavy_02.2	Light_03.2	Heavy_03.2	Light_04.3	Heavy_04.3	Light_05.3	Heavy_05.3	Light_06.3	Light_07.3	Heavy_06.3
alh-4	6.95700462061857e-05	6.95700462061857e-05	1.03030708853891e-07	0.000266683322082771	1.64235859152355e-05	0.000160261325625706	8.21463273674738e-07	0.000162698001608586	8.21463273674738e-07	0.000204000293591054	0.000220485525682052	8.21463273674738e-07	0.000189890854769541
alh-5	1.41002241140303e-06	1.41002241140303e-06	2.31484930086697e-05	5.64008964561213e-06	2.19797919775409e-05	5.64008964561213e-06	1.41002241140303e-06	1.41002241140303e-06	1.41002241140303e-06	1.41002241140303e-06	1.41002241140303e-06	1.41002241140303e-06	1.41002241140303e-06
alh-6	7.27260666587162e-06	7.27260666587162e-06	4.90662057626872e-05	1.36772005633976e-05	0.00012496827140895	1.36772005633976e-05	1.00298793517339e-06	1.00298793517339e-06	0.000165597841875142	1.00298793517339e-06	1.00298793517339e-06	1.00298793517339e-06	1.00298793517339e-06
alh-8	0.00251949534810891	0.00108471734953014	0.00195255891127037	0.00192421008573486	0.00184711577353027	0.00124098182455806	0.00313068531070564	0.000121814285489842	0.00449294720733921	0.000267304466295756	0.00420820275666929	0.00194923198125743	0.000996319679494076
alh-9	0.00029898825749832	8.70358562999408e-05	0.000181101226498938	0.000119379364852525	0.000361787604473267	9.67659511207108e-05	0.000466466520167772	1.35745173347828e-06	0.000569963391966056	8.75858422805962e-05	0.000488575225295798	0.00034477086379806	1.35745173347828e-06
alh-10	5.44651182826075e-05	5.44651182826075e-05	5.17288069425196e-05	0.00010276502739627	6.54295305698392e-05	1.68244319348182e-05	9.58949068547464e-06	9.58949068547464e-06	0.00057791718611625	9.58949068547464e-06	9.58949068547464e-06	0.000147306309123221	9.58949068547464e-06
alh-12	0.000304828968914025	0.000304828968914025	0.000526088494522841	0.000166106213731988	0.000526576596283961	0.000122441124074298	0.000896066290232723	4.25202299492024e-06	0.000904031806631029	4.25202299492024e-06	0.00182538957260645	0.000659232706702855	4.25202299492024e-06
amt-4	1.06236969808786e-05	0.000277482158538582	9.08709193878351e-06	8.31559386965628e-05	9.08709193878351e-06	0.000135695479146231	5.99862698952954e-08	0.000308439799395592	5.99862698952954e-08	0.0002626831077484	5.99862698952954e-08	5.99862698952954e-08	0.000147494728977548
anc-1	1.78751721628728e-05	1.78751721628728e-05	3.21801136940862e-05	1.09709619777403e-05	2.2884167718762e-05	9.87769421141295e-06	3.11642195217174e-05	2.69172674897926e-05	8.16056946808057e-07	2.82930104584596e-05	8.16056946808057e-07	3.77002161059305e-05	3.08998717190123e-05
aph-2	1.77284940435543e-06	2.91915970904898e-05	4.95949141189121e-07	2.26266458031672e-05	2.29882624452257e-05	4.95949141189121e-07	4.14415785996696e-06	4.14415785996696e-06	4.14415785996696e-06	4.14415785996696e-06	4.14415785996696e-06	4.14415785996696e-06	4.14415785996696e-06
apl-1	8.92231709878993e-07	8.92231709878993e-07	1.47948557694566e-05	3.56892683951597e-06	3.56892683951597e-06	1.37658307507108e-05	8.92231709878993e-07	8.92231709878993e-07	8.92231709878993e-07	8.92231709878993e-07	8.92231709878993e-07	8.92231709878993e-07	8.92231709878993e-07
app-1	0.000180693075332446	3.66018147275879e-05	0.000418320802472183	2.11367148151453e-05	0.000312999943529908	1.41214620510011e-05	0.000515934581500486	5.25367648681579e-06	0.00052065866833184	5.25367648681579e-06	0.000103650927036782	0.000375807914035476	5.25367648681579e-06
aps-2	0.000119894156791069	1.97753634313221e-05	1.05711764304158e-05	1.05711764304158e-05	1.05711764304158e-05	1.05711764304158e-05	1.42949604269591e-06	1.42949604269591e-06	1.42949604269591e-06	0.000242912482382588	1.42949604269591e-06	1.42949604269591e-06	1.42949604269591e-06
apg-1	2.78580919327536e-06	2.12646625200727e-05	3.91764291308754e-08	2.79924044188168e-05	3.91764291308754e-08	3.91764291308754e-08	2.16426463308474e-06	2.16426463308474e-06	2.16426463308474e-06	2.16426463308474e-06	2.16426463308474e-06	2.16426463308474e-06	2.16426463308474e-06
aps-1	9.98193909594035e-07	9.98193909594035e-07	9.98193909594036e-05	3.99277563837614e-06	3.99277563837614e-06	3.99277563837614e-06	9.98193909594035e-07	9.98193909594035e-07	9.98193909594035e-07	9.98193909594035e-07	9.98193909594035e-07	9.98193909594035e-07	9.98193909594035e-07
apb-1	0.000151595441744155	0.00014692327322661	0.000194899036837429	6.29964171901535e-05	0.00023539291924943	0.000135187816794766	4.1563612737233e-05	0.000396321598812169	4.1563612737233e-05	0.000307817163787341	4.1563612737233e-05	0.000169714206363935	0.000246385217787007
apa-2	1.66700219662097e-05	1.59680352954599e-05	1.5613012254433e-05	3.39936542648497e-05	9.76134613358844e-07	5.42292258520744e-05	0.000113433884059456	8.6294960901614e-06	8.6294960901614e-06	8.6294960901614e-06	8.6294960901614e-06	8.6294960901614e-06	8.6294960901614e-06
aqp-2	0.000159533436831904	0.000155603536763064	0.000182164599523915	0.000172362027016125	0.000109267777343017	0.000172420723592401	0.00039219709849153	0.000247657301620165	2.34210230550106e-08	0.000314928097652538	2.34210230550106e-08	0.000295439600260195	0.000291895374713953
aqp-3	3.94465373592991e-05	3.60342091629327e-06	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05	1.67236655811427e-05
aqp-4	8.91176070815587e-06	0.000255064221084397	4.22311029863376e-06	0.000119460372125608	4.22311029863376e-06	0.000119489197410684	8.65339895035971e-07	0.000148582411323617	8.65339895035971e-07	0.000127882167386456	8.65339895035971e-07	8.65339895035971e-07	0.000332342780483319
aqp-6	6.13146002380381e-05	1.53286500595095e-05	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06	3.83216251487738e-06
aqp-7	1.86465193256515e-05	1.86465193256515e-05	1.27480660321709e-05	1.12901789800904e-05	1.16942142709221e-05	4.79201241363938e-05	0.000215178774973182	8.421105670012e-07	8.421105670012e-07	0.000120337140391859	8.421105670012e-07	8.421105670012e-07	8.421105670012e-07
aqp-8	2.92782017413555e-06	2.92782017413555e-06	1.17112806965422e-05	0.000292782017413555	1.17112806965422e-05	1.17112806965422e-05	2.92782017413555e-06	2.92782017413555e-06	2.92782017413555e-06	2.92782017413555e-06	2.92782017413555e-06	2.92782017413555e-06	2.92782017413555e-06
ard-1	0.000609842280943732	2.18708274160073e-05	0.000279493132027618	0.000261285952033832	0.000266381801843728	9.10044251885869e-05	0.000749669738156584	0.000487666202920701	0.000755496239984716	0.00042004628414399	3.18747625389907e-06	3.18747625389907e-06	3.18747625389907e-06
arf-1.2	0.00156598103409958	0.000595230902648943	0.00129474153661286	0.000797417395734902	0.00125859976485139	0.000797600321665217	0.000865404989460775	0.000722147809989523	0.000872792976498987	0.000768280734452262	0.00256744762300745	0.00153733777448129	0.000418775532986138
arf-3	0.00224900771107229	0.000696648730894808	0.00144321325130712	0.00113178400195985	0.00213716269344168	0.000886521754465323	0.00176293077983182	0.002184528475738	0.00177657898828551	0.00152421405660997	8.35584227274005e-06	0.00209415353246562	0.00158347347359063
arf-6	0.000226070401765583	2.19301467446535e-05	0.000230635391692779	0.000104278401306006	0.000222360144700457	7.61966919807043e-07	9.72058081385695e-05	9.72058081385695e-05	9.72058081385695e-05	9.72058081385695e-05	9.72058081385695e-05	9.72058081385695e-05	9.72058081385695e-05
arf-1.1	8.3579678536767e-05	2.08949196341917e-05	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06	5.22372990854793e-06
arl-8	0.000525419734898612	8.53528967216894e-05	8.91772511108379e-05	0.000321504493133729	0.000159422798324594	0.00059152111322609	0.000755090655023877	0.00115071523198303	0.000104699309803821	0.000104699309803821	0.000104699309803821	0.000104699309803821	0.000104699309803821
aars-2	0.00026055015248918	0.00010321819768193	0.000173718415875222	0.000177746665667311	0.000213579772625726	0.000131690310759583	0.000325139677896377	0.000211485658611529	7.64463071104342e-05	0.000280938496909842	0.000123707980610869	0.00015608224647463	0.000107324515077433
art-1	0.000111051745127495	0.000111051745127495	4.74600247739875e-05	0.000200767183064132	1.56915788785151e-05	0.000293533508500001	6.76644719640082e-06	0.000545867749671073	6.76644719640082e-06	0.000370445467073663	6.76644719640082e-06	8.07493056752244e-05	0.000898419599035067
arx-1	2.2749003674449e-05	0.000301215643972932	0.000199335494661323	9.22344873045744e-05	0.0001923524546902	4.43382029456702e-05	2.10249143750739e-05	2.10249143750739e-05	2.10249143750739e-05	0.0002672741714185	0.00145641917750805	2.10249143750739e-05	2.10249143750739e-05
arx-2	0.000164573278831742	3.52569709948802e-05	0.0003379798835158	3.32253054288476e-05	0.000224947618943277	2.60461855975106e-06	2.27967956164112e-05	2.27967956164112e-05	2.27967956164112e-05	2.27967956164112e-05	0.000718386539154618	0.000225197008517745	2.27967956164112e-05
arx-3	8.03359145427479e-06	8.03359145427479e-06	8.41232045347744e-05	1.0576513151885e-05	1.09240112928816e-05	1.92873651823487e-05	2.42542996178541e-06	2.42542996178541e-06	2.42542996178541e-06	0.000110171021699622	2.42542996178541e-06	2.42542996178541e-06	2.42542996178541e-06
arx-5	4.43809765551681e-05	0.000539546477976978	0.000162634320903679	2.71576825727387e-06	0.000291854035716959	2.71576825727387e-06	2.51396550822121e-05	2.51396550822121e-05	2.51396550822121e-05	2.51396550822121e-05	0.000778306541385641	2.51396550822121e-05	2.51396550822121e-05
arx-6	0.000196934719815444	0.000188948540464243	0.000234769217343543	0.000105260050261212	0.000226273889826261	0.0002230297733001	4.82428705662086e-05	0.000451813490549015	4.82428705662086e-05	0.000655357585297127	4.82428705662086e-05	0.000510240424869938	4.82428705662086e-05
arx-7	0.000107848860883574	0.000103442719883064	0.000203359328672272	7.9606749625055e-05	8.10849605196949e-05	7.96382860866953e-05	5.57693559982403e-05	5.57693559982403e-05	5.57693559982403e-05	0.000736452329313139	5.57693559982403e-05	5.57693559982403e-05	5.57693559982403e-05
asb-1	1.16355066542696e-05	1.16355066542696e-05	1.50418658265062e-05	2.09172112059918e-05	1.50418658265062e-05	0.000283167397527708	2.18367970632684e-07	0.000125216915346383	2.18367970632684e-07	0.000107144682321003	2.18367970632684e-07	2.18367970632684e-07	2.18367970632684e-07
asb-2	3.23830934546083e-05	3.23830934546083e-05	5.2496901422752e-05	0.000321967903949866	5.2496901422752e-05	0.000372873899357282	2.4175897499245e-06	0.00027620231238316	2.4175897499245e-06	0.000238414161397931	2.4175897499245e-06	2.4175897499245e-06	2.4175897499245e-06
asg-1	1.89997554252288e-05	1.89997554252288e-05	4.32628914305754e-05	0.000133191564420162	4.32628914305754e-05	0.000362884406711913	4.92210775233362e-06	4.92210775233362e-06	4.92210775233362e-06	0.000295860708293678	4.92210775233362e-06	4.92210775233362e-06	4.92210775233362e-06
asg-2	3.65403214278751e-05	3.65403214278751e-05	4.4431269279323e-05	0.000241014412575703	4.4431269279323e-05	0.000483390984783341	3.85416684232224e-07	0.000557294124339827	3.85416684232224e-07	0.000243448583783066	3.85416684232224e-07	3.85416684232224e-07	3.85416684232224e-07
asp-1	0.00957873348699387	0.00454154881160704	0.00736663923979268	0.00589013478506394	0.00741805881452745	0.00669443748039894	0.00690779045280808	0.00432696525996139	0.0100115846946435	0.00482351404222235	0.0111088222073659	0.00624195424750909	0.0057169338309042
asp-2	0.000967622642081269	0.000948276673207056	0.00105870829593326	0.000906810130263089	0.00107608873558572	0.000803529258647864	0.00152373759868872	0.000378571499890451	0.00205952894979748	0.000336617117028063	0.00171754216501372	0.00127584709150658	0.000298224303745907
asp-3	0.00217602727037457	0.00132001661902043	0.00154405567013735	0.00189724017883475	0.00161872805101889	0.00183823705864677	0.0018437862070353	0.00128369044238395	0.00229786813794407	0.00110210798559602	0.00363221628124403	0.00129703886525004	0.00117275024631388
asp-4	0.000970362733541938	0.000831995357142026	0.00113804726254233	0.000746752745584704	0.00126345348662073	0.000546770627010373	0.00124521525854867	0.000525075910950577	0.00147060049400817	0.000527839858703588	0.00105647004855787	0.000808247058626649	0.000871668069464573
asp-5	0.00062018746794766	0.000474084724863611	0.000851407076837135	0.000257704995327966	0.00102823747706102	0.000257791431193885	0.000600183928540016	0.000200930927604178	0.00118007702181019	6.68068074321983e-05	0.00160312198135549	0.00057434186248839	0.00032999572641875
asp-6	0.0019743782543691	0.00157726246293567	0.00198902778371765	0.00129314341056849	0.00225370631131994	0.00162130586086199	0.00273548499098698	0.000273875839312948	0.00406875095268089	0.000431947917202689	0.00280565263785877	0.00268439727053024	0.00131913023102371
atgp-1	1.43039991040023e-05	0.000547642190698774	0.000195040886052156	0.000184532081123912	0.000187479686539632	4.01160042204759e-06	3.34657716495057e-05	3.34657716495057e-05	3.34657716495057e-05	0.000348716980903147	3.34657716495057e-05	0.000443951527204594	3.34657716495057e-05
atn-1	7.93371661735987e-06	8.31739248922989e-05	8.11156838458875e-05	5.66734113064454e-06	0.000149379830274396	6.97869179424283e-08	4.12612749796543e-06	4.12612749796543e-06	4.12612749796543e-06	6.41376969145718e-05	0.000557586544629797	4.12612749796543e-06	4.12612749796543e-06
atp-2	0.00215876899761163	0.00080984224286298	0.00157258003261026	0.00138057228432159	0.00136208688887171	0.00130481914673204	0.00159118809148139	0.000456740732994362	0.00178122539183222	0.000865413752397108	0.00287458382835645	0.00138072537102948	0.0014871863090859
atp-3	0.000326796544710688	0.000326796544710688	0.00027220007701663	0.00030771079972413	0.000255772665115407	0.000496264317779362	0.000759840703337491	0.00099403844521557	2.5438189526792e-05	0.000466858155692886	2.5438189526792e-05	0.000705512994190195	0.00086247253989084
baf-1	3.521717838343e-06	3.521717838343e-06	0.0003521717838343	1.4086871353372e-05	1.4086871353372e-05	1.4086871353372e-05	3.521717838343e-06	3.521717838343e-06	3.521717838343e-06	3.521717838343e-06	3.521717838343e-06	3.521717838343e-06	3.521717838343e-06
bas-1	5.89091125761918e-07	5.89091125761918e-07	2.35636450304767e-06	2.35636450304767e-06	5.89091125761918e-05	2.35636450304767e-06	5.89091125761918e-07	5.89091125761918e-07	5.89091125761918e-07	5.89091125761918e-07	5.89091125761918e-07	5.89091125761918e-07	5.89091125761918e-07
pah-1	2.59920523801473e-05	2.59920523801473e-05	0.000127848806171908	1.9414634458185e-05	0.00012183777223488	6.02272992604998e-06	0.000105701859404749	6.41632966860888e-05	4.78913878678169e-07	0.000113462493605248	4.78913878678169e-07	7.78024732661231e-05	4.78913878678169e-07
bli-3	1.32990454937159e-05	0.000183181391422749	1.34480024628356e-05	0.000282097116601397	1.34480024628356e-05	0.000104702515147903	8.08858552873847e-07	0.00038107926842939	8.08858552873847e-07	0.000326316922640276	8.08858552873847e-07	3.78872450490174e-05	0.000187566097893834
bli-4	5.86707107012475e-06	5.45736310060449e-06	1.38406314859124e-06	1.38406314859124e-06	3.58468162933385e-05	1.38406314859124e-06	5.66036361985029e-06	5.66036361985029e-06	5.66036361985029e-06	5.66036361985029e-06	5.66036361985029e-06	5.66036361985029e-06	5.66036361985029e-06
brd-1	2.15664414986913e-07	2.15664414986913e-07	8.62657659947652e-07	8.62657659947652e-07	2.15664414986913e-05	8.62657659947652e-07	2.15664414986913e-07	2.15664414986913e-07	2.15664414986913e-07	2.15664414986913e-07	2.15664414986913e-07	2.15664414986913e-07	2.15664414986913e-07
bre-1	6.34017151207623e-05	1.62058206409482e-05	0.000198083411330942	9.3504066267684e-07	0.000140092521847723	9.3504066267684e-07	3.59290236070647e-05	3.59290236070647e-05	3.59290236070647e-05	3.59290236070647e-05	3.59290236070647e-05	3.59290236070647e-05	3.59290236070647e-05
brp-1	1.52625765137177e-05	1.52625765137177e-05	0.000132499871801706	2.1016639165643e-07	1.02287518915869e-05	2.11047540591883e-07	4.39468130684617e-06	4.39468130684617e-06	4.39468130684617e-06	4.39468130684617e-06	4.39468130684617e-06	0.000218124726551386	4.39468130684617e-06
cab-1	1.39959636479136e-05	1.39959636479136e-05	7.7648082055107e-05	1.36440906563271e-07	0.000196119633570229	5.59838545916543e-05	1.39959636479136e-05	1.39959636479136e-05	1.39959636479136e-05	1.39959636479136e-05	1.39959636479136e-05	1.39959636479136e-05	1.39959636479136e-05
cah-3	2.19397061450019e-06	0.000100962390240384	4.59104019385465e-05	7.85228812832969e-06	4.3715212052543e-05	4.28805065758887e-05	1.83475091089239e-05	1.83475091089239e-05	1.83475091089239e-05	1.83475091089239e-05	1.83475091089239e-05	1.83475091089239e-05	1.83475091089239e-05
cah-4	1.63775026950637e-05	1.50119212010768e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05	1.56872823118383e-05
cah-5	8.16312857808421e-06	8.16312857808421e-06	1.77175056311247e-05	1.60432921719377e-05	5.68028818915747e-05	1.86876162223932e-05	2.14856562200911e-06	2.14856562200911e-06	2.14856562200911e-06	0.000125552937781861	2.14856562200911e-06	2.14856562200911e-06	2.14856562200911e-06
cap-1	0.000313866568530993	1.64363653885631e-05	0.00027276969968578	9.51278704310064e-05	0.000264078023291104	1.04314903919453e-06	3.24063854138307e-05	3.24063854138307e-05	0.000388864154584553	0.000252936278073079	3.24063854138307e-05	0.000316923766677935	3.24063854138307e-05
cap-2	0.000121921967028274	0.000116950830978446	0.000236059149922484	9.40885282823622e-05	0.000159856675950984	3.60580188592979e-05	5.88181597210174e-05	5.88181597210174e-05	5.88181597210174e-05	0.000327793229303689	5.88181597210174e-05	0.000401808875488132	5.88181597210174e-05
cas-1	0.000524984628285545	7.44652017749359e-05	0.000401762744463341	0.00026044882305476	0.000238512664286959	0.000131272660552573	0.000592159633180005	5.7483733551388e-07	0.000942713863674776	7.16647005158506e-05	0.0004176239779944	0.000622045537707668	5.7483733551388e-07
cat-4	6.78907709958802e-07	6.78907709958802e-07	2.71563083983521e-06	2.71563083983521e-06	6.78907709958803e-05	2.71563083983521e-06	6.78907709958803e-07	6.78907709958803e-07	6.78907709958803e-07	6.78907709958803e-07	6.78907709958803e-07	6.78907709958803e-07	6.78907709958803e-07
cav-1	0.000623168820218489	0.00121767597169292	0.00126211403096611	0.000579618773045054	0.000805659682926362	0.00100688588182688	0.00146857345847669	0.00182509775781639	0.00101139413817087	0.000817103149263189	4.51788880631532e-06	0.00147136477898346	0.000761235353881781
cav-2	1.78760031702823e-05	0.000155990288145134	1.70635290392847e-05	1.70635290392847e-05	1.70635290392847e-05	1.70635290392847e-05	9.44780071064778e-09	0.000100538375744796	9.44780071064778e-09	0.000338660679084264	9.44780071064778e-09	9.44780071064778e-09	9.44780071064778e-09
ccg-1	8.93824873842639e-05	8.93824873842639e-05	0.000515678855074218	1.2781435906433e-05	0.000495444744510375	1.2781435906433e-05	0.00046151145754768	3.45640258452266e-05	0.00061699493138029	3.45640258452266e-05	0.000386276849268509	0.000318295721502509	3.45640258452266e-05
cyp-14A5	3.0047679462466e-06	3.0047679462466e-06	1.20190717849864e-05	3.46011238257292e-05	1.20190717849864e-05	6.37624798876999e-05	3.00476794624661e-06	3.00476794624661e-06	3.00476794624661e-06	3.00476794624661e-06	3.00476794624661e-06	3.00476794624661e-06	3.00476794624661e-06
ccr-4	3.91791109515659e-07	3.91791109515659e-07	3.91791109515659e-05	1.56716443806264e-06	1.56716443806264e-06	1.56716443806264e-06	3.91791109515659e-07	3.91791109515659e-07	3.91791109515659e-07	3.91791109515659e-07	3.91791109515659e-07	3.91791109515659e-07	3.91791109515659e-07
cct-1	0.0010602035630438	0.000179034326960066	0.000440799007500107	0.000474441987996953	0.000576745862959555	0.000629500041242025	0.000373026863253397	0.000604390371482624	0.000684774793518145	0.000570027803394472	0.000370564316398711	0.000410920364263297	0.000746986469132808
cct-2	0.000852049963448075	0.000209948752286485	0.000727316400006235	0.000321131237619403	0.00051177245022971	0.000393930369219994	0.000686998800393528	0.000503526660636746	0.000783975847975253	0.000646959660446876	0.000214567153892599	0.000361225162669349	0.000293751974997948
cct-4	0.000778325793424913	0.000104938663917387	0.000422514702314116	0.000427362794173596	0.000253178389901256	0.000366546301269107	0.000509097344313438	0.000448208345600353	0.000601510387910322	0.000690655148260651	0.00021594428889419	0.000121272797457846	0.000175588699332466
cct-5	0.000516396865949429	8.2346162474652e-05	0.000236726815274275	0.000332386781498807	0.000191792759596225	0.000260220728017691	0.000299045811645496	0.000231437653608115	0.000302598032627618	0.000252927918489416	0.000130344979060678	0.000196217950026404	0.000402653874273995
cct-6	0.00133609702698737	0.000213097726031523	0.000915071731061501	0.00055934256112058	0.000612363610788212	0.000559535273727428	0.00077652542919816	0.000691910172849455	0.00102523319195618	0.000770160480415662	0.000565922684337248	0.000570148682374963	0.000303404602735484
cdc-42	0.00157418655792176	0.00085594149403033	0.00130850159820278	0.00154016087937939	0.000979935809281738	0.000969884518824868	0.000706830954930994	0.000870467834035547	0.000712136621310947	0.0014194902587828	0.00171227446218433	0.00125913447881961	0.00193141116193304
cdd-1	3.89987211255142e-06	3.89987211255142e-06	6.40246293973964e-05	1.55994884502057e-05	6.07922094568695e-05	1.55994884502057e-05	3.89987211255142e-06	3.89987211255142e-06	3.89987211255142e-06	3.89987211255142e-06	3.89987211255142e-06	3.89987211255142e-06	3.89987211255142e-06
cdd-2	9.44074962688334e-07	9.44074962688334e-07	9.44074962688335e-05	3.77629985075334e-06	3.77629985075334e-06	3.77629985075334e-06	9.44074962688335e-07	9.44074962688335e-07	9.44074962688335e-07	9.44074962688335e-07	9.44074962688335e-07	9.44074962688335e-07	9.44074962688335e-07
casy-1	2.40544570833748e-05	2.20487592640816e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05	2.30406958955125e-05
cdk-1	0.00015496048894769	5.65972338885773e-06	0.000134216839357501	0.000129692436375395	1.11596155882862e-05	1.11596155882862e-05	5.11885431063682e-05	3.27140346150836e-05	0.00027794660271739	5.76017551175854e-05	0.00033517578482715	0.000185263556848621	3.27140346150836e-05
cdr-1	3.14240219828821e-06	3.14240219828821e-06	1.25696087931528e-05	2.77212455179195e-05	1.25696087931528e-05	7.9501488523391e-05	3.14240219828821e-06	3.14240219828821e-06	3.14240219828821e-06	3.14240219828821e-06	3.14240219828821e-06	3.14240219828821e-06	3.14240219828821e-06
ced-7	9.17055774713425e-06	1.2617061708981e-06	1.39607258302021e-06	1.39607258302021e-06	2.26426959001954e-05	1.39607258302021e-06	4.30884148645607e-06	4.30884148645607e-06	4.30884148645607e-06	4.30884148645607e-06	4.30884148645607e-06	4.30884148645607e-06	4.30884148645607e-06
