Gene_Symbol	KEGG_Gene_ID
ppw-2	cel:CELE_Y110A7A.18
hgrs-1	cel:CELE_C07G1.5
stam-1	cel:CELE_C34G6.7
pqn-27	cel:CELE_E01G4.4
pqn-83	cel:CELE_Y39E4B.3
pqn-84	cel:CELE_Y41C4A.5
pqn-87	cel:CELE_Y57A10A.18
pqn-89	cel:CELE_Y73B6BR.1
prg-1	cel:CELE_D2030.6
T19D2.2	cel:CELE_T19D2.2
prp-8	cel:CELE_C50C3.6
pars-1	cel:CELE_T20H4.3
ptc-1	cel:CELE_ZK675.1
ptc-3	cel:CELE_Y110A2AL.8
puf-5	cel:CELE_F54C9.8
puf-9	cel:CELE_W06B11.2
pyc-1	cel:CELE_D2023.2
pyr-1	cel:CELE_D2085.1
qua-1	cel:CELE_T05C12.10
rab-1	cel:CELE_C39F7.4
rab-3	cel:CELE_C18A3.6
rab-5	cel:CELE_F26H9.6
rab-6.1	cel:CELE_F59B2.7
rab-6.2	cel:CELE_T25G12.4
rab-7	cel:CELE_W03C9.3
rab-8	cel:CELE_D1037.4
rab-10	cel:CELE_T23H2.5
rab-11.1	cel:CELE_F53G12.1
rab-11.2	cel:CELE_W04G5.2
rab-14	cel:CELE_K09A9.2
rab-18	cel:CELE_Y92C3B.3
rab-21	cel:CELE_T01B7.3
rab-30	cel:CELE_Y45F3A.2
rab-35	cel:CELE_Y47D3A.25
ran-1	cel:CELE_K01G5.4
ran-2	cel:CELE_C29E4.3
rap-1	cel:CELE_C27B7.8
rap-2	cel:CELE_C25D7.7
ras-1	cel:CELE_C44C11.1
rcq-5	cel:CELE_E03A3.2
ret-1	cel:CELE_W06A7.3
rfc-2	cel:CELE_F58F6.4
rhi-1	cel:CELE_F46H6.1
rho-1	cel:CELE_Y51H4A.3
rhr-1	cel:CELE_F08F3.3
ric-4	cel:CELE_Y22F5A.3
rme-1	cel:CELE_W06H8.1
rme-2	cel:CELE_T11F8.3
rme-8	cel:CELE_F18C12.2
rnf-5	cel:CELE_C16C10.7
rnp-2	cel:CELE_K08D10.4
rnp-3	cel:CELE_K08D10.3
rnr-1	cel:CELE_T23G5.1
rnr-2	cel:CELE_C03C10.3
rop-1	cel:CELE_C12D8.11
rla-0	cel:CELE_F25H2.10
rla-1	cel:CELE_Y37E3.7
rla-2	cel:CELE_Y62E10A.1
rpl-1	cel:CELE_Y71F9AL.13
rpl-2	cel:CELE_B0250.1
rpl-3	cel:CELE_F13B10.2
rpl-4	cel:CELE_B0041.4
